No,sample,magnification,material,supply_factor,geometry,scan_strategy,spotsize[um],hatch[mm],layer_thickness[mm],laser_power[W],markspeed[mm/s],volume_energy_density[J/mm3],area_accuracy,perimeter_accuracy,porosity[-],total_defect_count,porosity_LOF[-],porosity_gas_pore[-],porosity_crack[-],porosity_ump[-],x_min[um],x_max[um],x0_10[um],x0_50[um],x0_90[um],x2_10[um],x2_50[um],x2_90[um]
0_ExampleDirectory,01,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2339149044385993,1.4298057726093876,0.021997277353879078,1483.0,0.002171167484871897,8.235737807951638e-06,3.2029953722344935e-05,0.019782679953231765,0.63,146.21,0.81,1.86,10.84,27.65,82.63,121.36
0_ExampleDirectory,01,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2339149044385993,1.4298057726093876,0.021997277353879078,1483.0,0.002171167484871897,8.235737807951638e-06,3.2029953722344935e-05,0.019782679953231765,0.63,146.21,0.81,1.86,10.84,27.65,82.63,121.36
0_ExampleDirectory,01,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2339149044385993,1.4298057726093876,0.021997277353879078,1483.0,0.002171167484871897,8.235737807951638e-06,3.2029953722344935e-05,0.019782679953231765,0.63,146.21,0.81,1.86,10.84,27.65,82.63,121.36
0_ExampleDirectory,-30,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009049025955517404,0.033608781782182184,0.4476328707637119,4.0,0.0,0.0,0.4476328707637119,0.0,31.88,60.39,32.88,51.88,58.68,34.16,54.94,59.3
0_ExampleDirectory,-30,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009049025955517404,0.033608781782182184,0.44763051071462284,4.0,0.0,0.0,0.44763051071462284,0.0,31.88,60.39,32.88,51.88,58.68,34.16,54.94,59.3
0_ExampleDirectory,-30,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009049025955517404,0.033608781782182184,0.44763051071462284,4.0,0.0,0.0,0.44763051071462284,0.0,31.88,60.39,32.88,51.88,58.68,34.16,54.94,59.3
0_ExampleDirectory,-30,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009049025955517404,0.033608781782182184,0.4476375908618899,4.0,0.0,0.0,0.4476375908618899,0.0,31.88,60.39,32.88,51.88,58.68,34.16,54.94,59.3
0_ExampleDirectory,-30,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009049025955517404,0.033608781782182184,0.4476375908618899,4.0,0.0,0.0,0.4476375908618899,0.0,31.88,60.39,32.88,51.88,58.68,34.16,54.94,59.3
0_ExampleDirectory,-30,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009049025955517404,0.033608781782182184,0.4476328707637119,4.0,0.0,0.0,0.4476328707637119,0.0,31.88,60.39,32.88,51.88,58.68,34.16,54.94,59.3
0_ExampleDirectory,-30,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009049025955517404,0.033608781782182184,0.4476328707637119,4.0,0.0,0.0,0.4476328707637119,0.0,31.88,60.39,32.88,51.88,58.68,34.16,54.94,59.3
0_ExampleDirectory,-30,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009049025955517404,0.033608781782182184,0.4476328707637119,4.0,0.0,0.0,0.4476328707637119,0.0,31.88,60.39,32.88,51.88,58.68,34.16,54.94,59.3
0_ExampleDirectory,01,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.233912971537303,1.428532670044202,0.02199684280589275,1485.0,0.0021718681420041653,7.207063547618405e-06,3.777689448257075e-05,0.01977672642197826,0.63,146.21,0.81,1.84,10.81,27.67,82.62,121.36
0_ExampleDirectory,0_3_0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2116225314499216,2.897416267438773,0.00713655250588878,428.0,0.0032022296806954297,3.0711241022701354e-06,2.3535149060961234e-05,0.003905283978483765,1.25,150.09,1.64,3.79,18.33,22.16,89.48,141.34
0_ExampleDirectory,0_3_0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2116225314499216,2.897416267438773,0.00713655250588878,428.0,0.0032022296806954297,3.0711241022701354e-06,2.3535149060961234e-05,0.003905283978483765,1.25,150.09,1.64,3.79,18.33,22.16,89.48,141.34
0_ExampleDirectory,0_3_0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2116225314499216,2.897416267438773,0.00713655250588878,428.0,0.0032022296806954297,3.0711241022701354e-06,2.3535149060961234e-05,0.003905283978483765,1.25,150.09,1.64,3.79,18.33,22.16,89.48,141.34
